lineage,array1,array2,p0_1,p1_0
1,0,0,0.0005,0.0005
0,0,0,0.00049,0.00051
0,0,0,0.00051,0.00049
0,0,0,0.00075,0.00075
0,0,0,0.00075,0.00075
0,0,0,0.00075,0.00075
0,0,0,0.00075,0.00075
0,0,0,0.000735,0.000765
0,0,0,0.000765,0.000735
0,0,0,0.00072,0.00078
0,0,0,0.00078,0.00072
0,0,0,0.000705,0.000795
0,0,0,0.000795,0.000705
0,0,0,0.000675,0.000825
0,0,0,0.000825,0.000675
0,0,0,0.001,0.001
0,0,0,0.00098,0.00102
0,0,0,0.00102,0.00098
0,0,0,0.001,0.001
0,0,0,0.001,0.001
0,0,0,0.001,0.001
0,0,0,0.001,0.001
0,0,0,0.00098,0.00102
0,0,0,0.00102,0.00098
0,0,0,0.00096,0.00104
0,0,0,0.00104,0.00096
0,0,0,0.00094,0.00106
0,0,0,0.00106,0.00094
0,0,0,0.0009,0.0011
0,0,0,0.0011,0.0009
0,0,0,0.00125,0.00125
0,0,0,0.001225,0.001275
0,0,0,0.001275,0.001225
0,0,0,0.00125,0.00125
0,0,0,0.00125,0.00125
0,0,0,0.00125,0.00125
0,0,0,0.00125,0.00125
0,0,0,0.001225,0.001275
0,0,0,0.001275,0.001225
0,0,0,0.0012,0.0013
0,0,0,0.0013,0.0012
0,0,0,0.001175,0.001325
0,0,0,0.00159,0.00141
0,0,0,0.00135,0.00165
0,0,0,0.00165,0.00135
0,0,1,0.001,0.001
0,0,1,0.00098,0.00102
0,0,1,0.00102,0.00098
0,0,1,0.0012,0.0013
0,0,1,0.0013,0.0012
0,1,0,0.001,0.001
0,1,0,0.00098,0.00102
0,1,0,0.00102,0.00098
0,1,0,0.00072,0.00078
0,1,0,0.00078,0.00072
0,1,1,0.0005,0.0005
0,1,1,0.00049,0.00051
0,1,1,0.00051,0.00049
0,1,1,0.00075,0.00075
0,1,1,0.00075,0.00075
0,1,1,0.00075,0.00075
0,1,1,0.00075,0.00075
0,1,1,0.000735,0.000765
0,1,1,0.000765,0.000735
0,1,1,0.00072,0.00078
0,1,1,0.00078,0.00072
0,1,1,0.000705,0.000795
0,1,1,0.000795,0.000705
0,1,1,0.000675,0.000825
0,1,1,0.000825,0.000675
0,1,1,0.001,0.001
0,1,1,0.00098,0.00102
0,1,1,0.00102,0.00098
0,1,1,0.001,0.001
0,1,1,0.001,0.001
0,1,1,0.001,0.001
0,1,1,0.001,0.001
0,1,1,0.00098,0.00102
0,1,1,0.00102,0.00098
0,1,1,0.00096,0.00104
0,1,1,0.00104,0.00096
0,1,1,0.00094,0.00106
0,1,1,0.00106,0.00094
0,1,1,0.0009,0.0011
0,1,1,0.0011,0.0009
0,1,1,0.00125,0.00125
0,1,1,0.001225,0.001275
0,1,1,0.001275,0.001225
0,1,1,0.00125,0.00125
0,1,1,0.00125,0.00125
0,1,1,0.00125,0.00125
0,1,1,0.00125,0.00125
0,1,1,0.001225,0.001275
0,1,1,0.001275,0.001225
0,1,1,0.0012,0.0013
0,1,1,0.0013,0.0012
0,1,1,0.001175,0.001325
0,1,1,0.00159,0.00141
0,1,1,0.00135,0.00165
0,1,1,0.00165,0.00135
